Week Ending/Date,Location,Average_Price
31/12/2016,Kolkata,NS(147.26)
24/12/2016,Kolkata,144.88(153.79)
17/12/2016,Kolkata,148.67(157.45)
10/12/2016,Kolkata,148.35(155.83)
03/12/2016,Kolkata,152.06(154.94)
26/11/2016,Kolkata,154.83(157.92)
19/11/2016,Kolkata,154.58(152.56)
12/11/2016,Kolkata,152.38(154.15)
05/11/2016,Kolkata,150.34(155.49)
29/10/2016,Kolkata,147.48(153.37)
22/10/2016,Kolkata,148.41(NS)
15/10/2016,Kolkata,NS(157.02)
08/10/2016,Kolkata,144.54(162.17)
01/10/2016,Kolkata,147.47(153.90)
24/09/2016,Kolkata,149.87(158.22)
17/09/2016,Kolkata,150.20(164.58)
10/09/2016,Kolkata,149.90(164.57)
03/09/2016,Kolkata,151.35(165.47)
27/08/2016,Kolkata,150.00(168.49)
20/08/2016,Kolkata,155.05(170.35)
13/08/2016,Kolkata,158.31(166.07)
06/08/2016,Kolkata,159.40(163.72)
30/07/2016,Kolkata,159.43(169.45)
23/07/2016,Kolkata,162.54(169.12)
16/07/2016,Kolkata,171.50(169.33)
09/07/2016,Kolkata,163.96(163.85)
02/07/2016,Kolkata,168.49(155.47)
25/06/2016,Kolkata,163.93(163.57)
18/06/2016,Kolkata,163.88(161.95)
11/06/2016,Kolkata,154.04(153.28)
04/06/2016,Kolkata,144.51(153.48)
28/05/2016,Kolkata,144.66(157.29)
21/05/2016,Kolkata,145.09(145.07)
14/05/2016,Kolkata,150.15(153.55)
07/05/2016,Kolkata,146.67(148.11)
30/04/2016,Kolkata,149.14(154.19)
23/04/2016,Kolkata,160.41(164.50)
16/04/2016,Kolkata,164.44(110.39)
09/04/2016,Kolkata,143.69(108.09)
02/04/2016,Kolkata,NS(NS)
26/03/2016,Kolkata,NS(84.97)
19/03/2016,Kolkata,111.62(NS)
12/03/2016,Kolkata,NS(91.99)
05/03/2016,Kolkata,NS(86.73)
27/02/2016,Kolkata,109.77(96.04)
20/02/2016,Kolkata,119.41(110.66)
13/02/2016,Kolkata,122.26(121.37)
06/02/2016,Kolkata,117.94(123.81)
30/01/2016,Kolkata,122.06(131.11)
23/01/2016,Kolkata,131.62(135.29)
16/01/2016,Kolkata,139.57(143.80)
09/01/2016,Kolkata,145.47(144.55)
02/01/2016,Kolkata,147.26(147.87)
31/12/2016,Guwahati,127.81(125.94)
24/12/2016,Guwahati,131.35(135.27)
17/12/2016,Guwahati,130.57(134.46)
10/12/2016,Guwahati,133.78(133.57)
03/12/2016,Guwahati,133.44(137.00)
26/11/2016,Guwahati,138.11(144.91)
19/11/2016,Guwahati,137.02(141.95)
12/11/2016,Guwahati,138.84(147.66)
05/11/2016,Guwahati,137.18(141.27)
29/10/2016,Guwahati,137.98(140.56)
22/10/2016,Guwahati,140.46(NS)
15/10/2016,Guwahati,NS(140.93)
08/10/2016,Guwahati,139.15(141.25)
01/10/2016,Guwahati,138.78(145.37)
24/09/2016,Guwahati,139.27(146.82)
17/09/2016,Guwahati,137.97(144.42)
10/09/2016,Guwahati,140.12(144.06)
03/09/2016,Guwahati,141.28(149.82)
27/08/2016,Guwahati,142.04(152.24)
20/08/2016,Guwahati,141.17(152.27)
13/08/2016,Guwahati,143.12(151.38)
06/08/2016,Guwahati,144.15(151.02)
30/07/2016,Guwahati,146.07(152.64)
23/07/2016,Guwahati,149.85(156.88)
16/07/2016,Guwahati,154.04(150.99)
09/07/2016,Guwahati,155.34(155.18)
02/07/2016,Guwahati,154.87(153.59)
25/06/2016,Guwahati,152.88(153.20)
18/06/2016,Guwahati,152.99(151.84)
11/06/2016,Guwahati,150.08(150.97)
04/06/2016,Guwahati,146.46(149.26)
28/05/2016,Guwahati,133.69(143.73)
21/05/2016,Guwahati,129.30(145.40)
14/05/2016,Guwahati,136.08(143.06)
07/05/2016,Guwahati,133.41(148.38)
30/04/2016,Guwahati,139.84(147.73)
