Week Ending/Date,Location,Average_Price
26/12/2015,NORTH INDIA,138.43 (134.36)
19/12/2015,NORTH INDIA,139.13 (137.08)
12/12/2015,NORTH INDIA,136.45 (139.49)
05/12/2015,NORTH INDIA,139.41 (141.39)
28/11/2015,NORTH INDIA,144.69 (140.75)
21/11/2015,NORTH INDIA,139.53 (142.50)
14/11/2015,NORTH INDIA,151.57 (142.74)
07/11/2015,NORTH INDIA,139.37 (137.29)
31/10/2015,NORTH INDIA,138.27 (138.53)
24/10/2015,NORTH INDIA,NS (139.49)
17/10/2015,NORTH INDIA,138.09 (136.22)
10/10/2015,NORTH INDIA,138.55 (134.87)
03/10/2015,NORTH INDIA,136.53 (NS)
26/09/2015,NORTH INDIA,141.64 (137.02)
19/09/2015,NORTH INDIA,141.75 (137.45)
12/09/2015,NORTH INDIA,143.22 (138.41)
05/09/2015,NORTH INDIA,145.28 (138.47)
29/08/2015,NORTH INDIA,146.89 (141.24)
22/08/2015,NORTH INDIA,147.99 (143.25)
15/08/2015,NORTH INDIA,146.19 (146.63)
08/08/2015,NORTH INDIA,147.66 (148.72)
01/08/2015,NORTH INDIA,149.78 (154.46)
25/07/2015,NORTH INDIA,150.91 (158.35)
18/07/2015,NORTH INDIA,148.60 (162.21)
11/07/2015,NORTH INDIA,146.98 (170.59)
04/07/2015,NORTH INDIA,145.14 (169.74)
27/06/2015,NORTH INDIA,147.65 (171.76)
20/06/2015,NORTH INDIA,147.07 (169.35)
13/06/2015,NORTH INDIA,143.54 (162.76)
06/06/2015,NORTH INDIA,143.89 (156.43)
30/05/2015,NORTH INDIA,145.30 (154.17)
23/05/2015,NORTH INDIA,141.91 (154.27)
16/05/2015,NORTH INDIA,140.71 (154.72)
09/05/2015,NORTH INDIA,142.21(153.12)
02/05/2015,NORTH INDIA,143.06 (157.38)
25/04/2015,NORTH INDIA,133.82 (153.95)
18/04/2015,NORTH INDIA,134.48 (143.33)
11/04/2015,NORTH INDIA,127.56 (155.58)
04/04/2015,NORTH INDIA,102.20 (135.85)
28/03/2015,NORTH INDIA,90.62(96.53)
21/03/2015,NORTH INDIA,78.45(NS)
14/03/2015,NORTH INDIA,87.45(NS)
07/03/2015,NORTH INDIA,92.53(103.20)
28/02/2015,NORTH INDIA,92.01(NS)
21/02/2015,NORTH INDIA,99.88(107.55)
14/02/2015,NORTH INDIA,107.36(106.97)
07/02/2015,NORTH INDIA,108.89(110.05)
31/01/2015,NORTH INDIA,117.51(112.06)
24/01/2015,NORTH INDIA,120.62(114.49)
17/01/2015,NORTH INDIA,131.32(118.12)
10/01/2015,NORTH INDIA,126.34(122.71)
03/01/2015,NORTH INDIA,129.51(128.59)
26/12/2015,SOUTH INDIA,80.78 (NS)
19/12/2015,SOUTH INDIA,90.37 (76.20)
12/12/2015,SOUTH INDIA,88.55 (75.99)
05/12/2015,SOUTH INDIA,85.08 (74.67)
28/11/2015,SOUTH INDIA,84.75 (72.99)
21/11/2015,SOUTH INDIA,80.62 (70.89)
14/11/2015,SOUTH INDIA,84.64 (70.54)
07/11/2015,SOUTH INDIA,78.27 (72.44)
31/10/2015,SOUTH INDIA,79.37 (71.52)
24/10/2015,SOUTH INDIA,79.89 (74.20)
17/10/2015,SOUTH INDIA,81.90 (78.81)
10/10/2015,SOUTH INDIA,79.14 (80.04)
03/10/2015,SOUTH INDIA,81.23 (83.27)
26/09/2015,SOUTH INDIA,80.29 (80.70)
19/09/2015,SOUTH INDIA,76.26 (77.09)
12/09/2015,SOUTH INDIA,72.88 (67.17)
05/09/2015,SOUTH INDIA,73.39 (74.06)
29/08/2015,SOUTH INDIA,63.37 (74.09)
22/08/2015,SOUTH INDIA,74.97 (73.03)
15/08/2015,SOUTH INDIA,73.56 (73.27)
08/08/2015,SOUTH INDIA,71.01 (72.65)
01/08/2015,SOUTH INDIA,71.02 (76.70)
25/07/2015,SOUTH INDIA,71.57 (74.42)
18/07/2015,SOUTH INDIA,72.76 (75.26)
11/07/2015,SOUTH INDIA,75.55 (84.53)
04/07/2015,SOUTH INDIA,75.42 (81.05)
27/06/2015,SOUTH INDIA,73.64 (81.90)
20/06/2015,SOUTH INDIA,71.92 (81.44)
13/06/2015,SOUTH INDIA,70.44 (82.10)
06/06/2015,SOUTH INDIA,72.21 (84.06)
30/05/2015,SOUTH INDIA,71.97 (86.25)
23/05/2015,SOUTH INDIA,73.88 (88.00)
16/05/2015,SOUTH INDIA,76.64 (89.62)
09/05/2015,SOUTH INDIA,78.01(91.72)
02/05/2015,SOUTH INDIA,80.78 (89.57)
25/04/2015,SOUTH INDIA,83.96 (87.06)
18/04/2015,SOUTH INDIA,84.59 (71.96)
