Week Ending/Date,Location,Average_Price
26/12/2015,Kolkata,160.32(155.77)
19/12/2015,Kolkata,164.17(163.76)
12/12/2015,Kolkata,163.93(164.96)
05/12/2015,Kolkata,164.14(169.09)
28/11/2015,Kolkata,166.82(167.24)
21/11/2015,Kolkata,163.09(170.68)
14/11/2015,Kolkata,166.10(166.21)
07/11/2015,Kolkata,162.96(160.72)
31/10/2015,Kolkata,162.19(157.87)
24/10/2015,Kolkata,NS(160.08)
17/10/2015,Kolkata,166.09(158.94)
10/10/2015,Kolkata,170.22(157.68)
03/10/2015,Kolkata,161.98(NS)
26/09/2015,Kolkata,166.49(156.25)
19/09/2015,Kolkata,171.09(161.86)
12/09/2015,Kolkata,173.65(157.53)
05/09/2015,Kolkata,175.42(161.33)
29/08/2015,Kolkata,180.25(165.44)
22/08/2015,Kolkata,184.63(168.47)
15/08/2015,Kolkata,180.80(173.18)
08/08/2015,Kolkata,179.62(177.98)
01/08/2015,Kolkata,185.04(182.03)
25/07/2015,Kolkata,188.24(189.71)
18/07/2015,Kolkata,187.30(194.77)
11/07/2015,Kolkata,175.88(202.58)
04/07/2015,Kolkata,176.00(201.42)
27/06/2015,Kolkata,182.95(196.17)
20/06/2015,Kolkata,176.61(180.30)
13/06/2015,Kolkata,168.20(170.82)
06/06/2015,Kolkata,164.97(167.12)
30/05/2015,Kolkata,168.90(166.37)
23/05/2015,Kolkata,159.95(167.64)
16/05/2015,Kolkata,171.11(174.58)
09/05/2015,Kolkata,164.59(173.37)
02/05/2015,Kolkata,163.28(179.27)
25/04/2015,Kolkata,175.14(175.80)
18/04/2015,Kolkata,115.72(140.88)
11/04/2015,Kolkata,109.22(163.20)
04/04/2015,Kolkata,NS(121.38)
28/03/2015,Kolkata,85.53(113.34)
21/03/2015,Kolkata,NS(NS)
14/03/2015,Kolkata,94.69 (NS)
07/03/2015,Kolkata,86.73(112.86)
28/02/2015,Kolkata,96.04(NS)
21/02/2015,Kolkata,111.80(115.00)
14/02/2015,Kolkata,122.72(116.50)
07/02/2015,Kolkata,125.09(120.69)
31/01/2015,Kolkata,132.84(120.14)
24/01/2015,Kolkata,136.57(125.37)
17/01/2015,Kolkata,144.22(130.64)
10/01/2015,Kolkata,146.27(136.34)
03/01/2015,Kolkata,151.02(145.28)
26/12/2015,Guwahati,135.32(126.11)
19/12/2015,Guwahati,134.52(125.91)
12/12/2015,Guwahati,133.65(133.03)
05/12/2015,Guwahati,137.19(133.88)
28/11/2015,Guwahati,145.05(135.17)
21/11/2015,Guwahati,142.01(135.26)
14/11/2015,Guwahati,147.77(140.02)
07/11/2015,Guwahati,141.44(137.12)
31/10/2015,Guwahati,140.67(136.53)
24/10/2015,Guwahati,NS(136.61)
17/10/2015,Guwahati,141.19(136.21)
10/10/2015,Guwahati,141.69(135.47)
03/10/2015,Guwahati,145.55(NS)
26/09/2015,Guwahati,146.99(137.65)
19/09/2015,Guwahati,144.87(135.79)
12/09/2015,Guwahati,144.82(141.95)
05/09/2015,Guwahati,150.88(140.90)
29/08/2015,Guwahati,153.40(145.57)
22/08/2015,Guwahati,152.88(147.00)
15/08/2015,Guwahati,152.82(151.07)
08/08/2015,Guwahati,152.66(152.87)
