Week Ending/Date,Location,Average_Price
28/12/2019,NORTH INDIA,143.20(145.97)
21/12/2019,NORTH INDIA,146.60(149.79)
14/12/2019,NORTH INDIA,150.88(153.10)
07/12/2019,NORTH INDIA,149.48(155.65)
30/11/2019,NORTH INDIA,147.75(156.57)
23/11/2019,NORTH INDIA,151.10(153.65)
16/11/2019,NORTH INDIA,148.75(154.43)
09/11/2019,NORTH INDIA,149.22(156.30)
02/11/2019,NORTH INDIA,154.15(152.64)
26/10/2019,NORTH INDIA,155.56(153.86)
19/10/2019,NORTH INDIA,152.03(NS)
12/10/2019,NORTH INDIA,135.91(152.05)
05/10/2019,NORTH INDIA,166.69(152.38)
28/09/2019,NORTH INDIA,152.83(151.35)
21/09/2019,NORTH INDIA,155.80(152.31)
14/09/2019,NORTH INDIA,156.60(154.56)
07/09/2019,NORTH INDIA,161.81(155.60)
31/08/2019,NORTH INDIA,158.58(156.51)
24/08/2019,NORTH INDIA,161.97(156.92)
17/08/2019,NORTH INDIA,162.56(160.35)
10/08/2019,NORTH INDIA,168.29(162.38)
03/08/2019,NORTH INDIA,169.18(163.96)
27/07/2019,NORTH INDIA,169.80(165.74)
20/07/2019,NORTH INDIA,169.22(167.81)
13/07/2019,NORTH INDIA,165.71(167.54)
06/07/2019,NORTH INDIA,169.49(170.14)
29/06/2019,NORTH INDIA,169.81(173.18)
22/06/2019,NORTH INDIA,173.32(170.21)
15/06/2019,NORTH INDIA,164.61(162.54)
08/06/2019,NORTH INDIA,158.47(158.74)
01/06/2019,NORTH INDIA,156.21(158.86)
25/05/2019,NORTH INDIA,155.30 (156.10)
18/05/2019,NORTH INDIA,153.96(157.66)
11/05/2019,NORTH INDIA,157.56(160.79)
04/05/2019,NORTH INDIA,163.83(161.48)
27/04/2019,NORTH INDIA,160.31(156.75)
20/04/2019,NORTH INDIA,163.05(155.26)
13/04/2019,NORTH INDIA,162.51(146.48)
06/04/2019,NORTH INDIA,146.10(150.60)
30/03/2019,NORTH INDIA,128.65(96.39)
23/03/2019,NORTH INDIA,114.95(111.02)
16/03/2019,NORTH INDIA,107.51 (NS)
09/03/2019,NORTH INDIA,114.15 (95.34)
02/03/2019,NORTH INDIA,113.22 (108 .49)
23/02/2019,NORTH INDIA,111.91 (106.23)
16/02/2019,NORTH INDIA,116.87 (108.40)
09/02/2019,NORTH INDIA,121.32 (110.51)
02/02/2019,NORTH INDIA,124.36 (116.36)
26/01/2019,NORTH INDIA,131.85 (114.88)
19/01/2019,NORTH INDIA,135.26 (127.23)
12/01/2019,NORTH INDIA,138.85 (129.80)
05/01/2019,NORTH INDIA,142.68 (137.19)
28/12/2019,SOUTH INDIA,106.29(88.46)
21/12/2019,SOUTH INDIA,93.88(107.82)
14/12/2019,SOUTH INDIA,92.50(107.63)
07/12/2019,SOUTH INDIA,92.98(111.23)
30/11/2019,SOUTH INDIA,93.23(111.03)
23/11/2019,SOUTH INDIA,93.90(110.67)
16/11/2019,SOUTH INDIA,91.66(109.29)
09/11/2019,SOUTH INDIA,90.94(114.60)
02/11/2019,SOUTH INDIA,93.59(107.37)
26/10/2019,SOUTH INDIA,93.36(104.57)
19/10/2019,SOUTH INDIA,96.04(106.02)
12/10/2019,SOUTH INDIA,96.30(105.68)
05/10/2019,SOUTH INDIA,97.55(104.58)
28/09/2019,SOUTH INDIA,97.25(106.49)
21/09/2019,SOUTH INDIA,95.61(109.19)
14/09/2019,SOUTH INDIA,84.52(106.52)
07/09/2019,SOUTH INDIA,92.60(103.43)
31/08/2019,SOUTH INDIA,91.83(109.00)
24/08/2019,SOUTH INDIA,93.68(91.50)
17/08/2019,SOUTH INDIA,90.62(99.37)
10/08/2019,SOUTH INDIA,90.27(94.24)
03/08/2019,SOUTH INDIA,91.27(95.65)
27/07/2019,SOUTH INDIA,88.79(93.78)
20/07/2019,SOUTH INDIA,88.54(91.21)
13/07/2019,SOUTH INDIA,88.53(92.68)
06/07/2019,SOUTH INDIA,95.17(89.59)
29/06/2019,SOUTH INDIA,98.44(90.61)
22/06/2019,SOUTH INDIA,103.91(91.92)
