,Week Ending/Date,Location,Bracketed_val_avg_price,Average_price
0,15/07/2023,NORTH INDIA,220.61,211.25
1,08/07/2023,NORTH INDIA,226.84,212.19
2,01/07/2023,NORTH INDIA,235.46,215.29
3,24/06/2023,NORTH INDIA,234.49,213.31
4,17/06/2023,NORTH INDIA,234.80,213.34
5,10/06/2023,NORTH INDIA,212.27,207.93
6,03/06/2023,NORTH INDIA,196.88,198.19
7,27/05/2023,NORTH INDIA,188.35,192.07
8,20/05/2023,NORTH INDIA,191.17,188.24
9,13/05/2023,NORTH INDIA,191.57,194.05
10,06/05/2023,NORTH INDIA,196.33,185.34
11,29/04/2023,NORTH INDIA,221.45,199.22
12,22/04/2023,NORTH INDIA,244.88,202.44
13,15/04/2023,NORTH INDIA,239.03,200.49
14,08/04/2023,NORTH INDIA,247.85,206.44
15,01/04/2023,NORTH INDIA,153.45,192.89
16,25/03/2023,NORTH INDIA,149.09,152.04
17,18/03/2023,NORTH INDIA,NA,NA
18,11/03/2023,NORTH INDIA,100.59,141.96
19,04/03/2023,NORTH INDIA,130.19,138.17
20,25/02/2023,NORTH INDIA,136.52,NA
21,18/02/2023,NORTH INDIA,134.22,147.89
22,11/02/2023,NORTH INDIA,146.49,141.58
23,04/02/2023,NORTH INDIA,150.50,142.13
24,28/01/2023,NORTH INDIA,142.43,149.61
25,21/01/2023,NORTH INDIA,154.62,147.19
26,14/01/2023,NORTH INDIA,161.18,153.97
27,07/01/2023,NORTH INDIA,165.41,158.13
28,15/07/2023,SOUTH INDIA,96.65,104.57
29,08/07/2023,SOUTH INDIA,98.07,105.06
30,01/07/2023,SOUTH INDIA,97.57,108.4
31,24/06/2023,SOUTH INDIA,113.38,109.04
32,17/06/2023,SOUTH INDIA,98.87,108.31
33,10/06/2023,SOUTH INDIA,102.27,109.65
34,03/06/2023,SOUTH INDIA,105.74,106.67
35,27/05/2023,SOUTH INDIA,104.85,111.81
36,20/05/2023,SOUTH INDIA,104.42,115.63
37,13/05/2023,SOUTH INDIA,108.02,120.95
38,06/05/2023,SOUTH INDIA,104.44,118.42
39,29/04/2023,SOUTH INDIA,110.37,125.7
40,22/04/2023,SOUTH INDIA,109.99,124.96
41,15/04/2023,SOUTH INDIA,93.11,124.13
42,08/04/2023,SOUTH INDIA,105.56,113.05
43,01/04/2023,SOUTH INDIA,108.16,124.24
44,25/03/2023,SOUTH INDIA,106.58,128.71
45,18/03/2023,SOUTH INDIA,106.17,129.4
46,11/03/2023,SOUTH INDIA,110.03,130.83
47,04/03/2023,SOUTH INDIA,114.55,132.49
48,25/02/2023,SOUTH INDIA,117.87,133.20
49,18/02/2023,SOUTH INDIA,120.30,132.32
50,11/02/2023,SOUTH INDIA,120.77,134.82
51,04/02/2023,SOUTH INDIA,119.97,133.52
52,28/01/2023,SOUTH INDIA,121.47,133.52
53,21/01/2023,SOUTH INDIA,119.00,131.89
54,14/01/2023,SOUTH INDIA,116.43,128.24
55,07/01/2023,SOUTH INDIA,112.01,126.39
56,15/07/2023,ALL INDIA,184.19,184.87
57,08/07/2023,ALL INDIA,196.56,185.6
58,01/07/2023,ALL INDIA,200.7,184.77
59,24/06/2023,ALL INDIA,210.68,182.61
60,17/06/2023,ALL INDIA,197.06,183.02
61,10/06/2023,ALL INDIA,179.30,178.00
62,03/06/2023,ALL INDIA,165.40,165.81
