0,1,2,3
Week Ending/Date,TOTAL TEA,TOTAL TEA,TOTAL TEA
,NORTH INDIA,SOUTH INDIA,ALL INDIA
27/12/2008,91.86(79.68),64.40(50.96),90.55(77.27)
20/12/2008,93.14(80.21),69.26(52.87),86.86(74.26)
13/12/2008,93.86(78.46),66.08(51.24),86.69(72.99)
06/12/2008,98.07(76.49),62.57(50.45),90.00(71.49)
29/11/2008,99.31(75.26),67.73(49.72),92.59(70.62)
22/11/2008,98.66(74.47),72.78(48.49),92.50(69.35)
15/11/2008,99.91(74.67),72.52(46.94),93.04(68.75)
08/11/2008,100.75(75.86),69.26(46.47),96.69(68.38)
01/11/2008,100.07(73.45),78.64(45.96),94.38(67.82)
25/10/2008,107.89(74.22),85.10(44.88),103.77(65.50)
18/10/2008,107.45(71.60),88.05(44.68),102.95(58.91)
11/10/2008,N.S.(73.15),86.32(45.57),86.32(67.44)
04/10/2008,106.03(70.92),86.37(46.57),101.51(66.02)
27/09/2008,107.21(70.90),91.57(46.69),104.11(65.36)
20/09/2008,104.73(69.74),88.81(46.28),101.60(64.38)
13/09/2008,100.15(69.91),75.66(46.57),96.14(64.84)
06/09/2008,99.60(70.66),77.81(46.25),94.37(64.54)
30/08/2008,99.07(70.83),76.07(41.01),93.90(66.38)
23/08/2008,99.80(71.49),76.51(46.81),94.52(65.67)
16/08/2008,100.51(72.53),76.44(45.49),94.44(66.66)
09/08/2008,98.69(72.66),72.51(45.55),92.02(65.95)
02/08/2008,98.13(73.55),70.13(45.74),90.12(67.57)
26/07/2008,97.45(75.65),66.23(47.42),88.97(68.97)
19/07/2008,98.87(75.80),64.82(46.30),89.21(68.62)
12/07/2008,98.68(78.98),64.11(45.79),87.83(71.00)
05/07/2008,99.50(80.92),64.32(46.39),88.66(71.93)
28/06/2008,102.28(82.33),65.16(47.09),89.90(71.43)
21/06/2008,99.64(82.09),63.77(47.99),87.19(69.62)
14/06/2008,96.62(80.83),62.00(49.54),82.10(67.63)
07/06/2008,92.72(77.28),60.37(50.15),78.44(65.24)
31/05/2008,92.19(76.23),58.65(50.64),78.03(65.60)
24/05/2008,92.02(74.42),58.01(51.86),78.63(66.50)
17/05/2008,91.47(73.81),56.67(52.32),78.45(67.99)
10/05/2008,90.53(73.87),56.47(53.03),77.51(68.07)
03/05/2008,90.21(76.19),57.67(53.90),78.25(69.16)
26/04/2008,93.45(78.47),57.92(54.69),76.12(69.53)
19/04/2008,95.02(78.06),56.99(54.28),66.23(66.99)
12/04/2008,87.72(82.93),56.58(55.10),63.89(65.29)
05/04/2008,78.98(75.45),56.83(47.61),60.32(58.45)
29/03/2008,63.29(54.19),57.52(54.73),58.80(54.55)
22/03/2008,58.78(N.S.),55.33(54.89),56.59(54.89)
15/03/2008,N.S.(54.38),58.32(56.24),58.32(55.43)
08/03/2008,66(54.39),57.74(49.39),63.98(53.43)
01/03/2008,56(N.S.),56.29(55.66),56.21(55.66)
23/02/2008,62.09(57.78),55.6(56.36),59.15(57.39)
16/02/2008,64.49(58.07),54.74(53.98),60.99(56.12)
09/02/2008,64.9(61.04),54.87(53.53),61.85(59.21)
02/02/2008,66.24(62.92),55.59(53.83),63.78(60.9)
26/01/2008,68.62(61.96),54.08(54.86),65.05(60.19)
19/01/2008,72.64(63.2),55.17(54.09),68.41(60.96)
12/01/2008,74.94(64.13),54.98(52.55),70.69(61.38)
05/01/2008,76.56(64.57),54.77(51.64),72.01(61.93)
