0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
27/12/2014,134.37(129.03),NS(NS),134.37(129.03)
20/12/2014,137.08(127.74),76.20(83.37),124.45(115.27)
13/12/2014,139.49(128.68),75.99(82.12),126.61(116.03)
06/12/2014,141.39(133.11),74.67(81.49),128.46(121.64)
29/11/2014,140.75(134.36),72.99(84.97),126.93(124.26)
22/11/2014,142.50(133.21),70.89(85.20),127.85(121.38)
15/11/2014,142.74(131.78),70.54(84.71),128.66(118.78)
08/11/2014,137.29(133.07),72.44 (84.99),123.74 (121.92)
01/11/2014,138.53(131.79),71.52(89.36),124.06(124.06)
25/10/2014,139.49(133.83),74.20(90.18),122.20(125.46)
18/10/2014,136.22(NS),78.81(93.40),125.51(93.40)
11/10/2014,134.87(135.10),80.04(98.99),123.38(124.25)
04/10/2014,NS(133.80),83.27(100.13),83.27(126.56)
27/09/2014,137.02(133.83),80.70(104.68),126.66(127.82)
20/09/2014,137.45(132.44),77.09(90.64),125.32(126.85)
13/09/2014,138.41(132.12),67.17(104.45),129.07(127.04)
06/09/2014,138.47(130.57),74.06(100.56),126.52(125.75)
30/08/2014,141.24(132.45),74.09(98.19),128.65(126.18)
23/08/2014,143.25(133.15),73.03(96.14),129.00(126.42)
16/08/2014,146.63(135.35),73.27(98.30),128.88(128.17)
09/08/2014,148.72(138.28),72.65(97.10),130.38(129.13)
02/08/2014,154.46(138.13),76.70(95.31),136.19(127.83)
26/07/2014,158.32(139.87),74.42(95.14),133.25(128.78)
19/07/2014,162.21(141.49),75.26(95.83),135.03(128.82)
12/07/2014,170.59(144.34),84.53(96.28),150.54(131.60)
05/07/2014,169.74(146.67),81.05(98.54),142.43 (132.46)
28/06/2014,171.76(145.39),81.90(99.02),138.05 (128.83)
21/06/2014,169.49 (142.77),81.44 (98.28),133.87 (125.70)
14/06/2014,162.76(141.77),82.10(97.41),128.46(125.00)
07/06/2014,156.41(141.91),84.06(99.72),125.14(127.98)
31/05/2014,154.17 (141.75),86.25 (100.96),126.09 (127.80)
24/05/2014,154.27(143.72),88.00(98.83),128.04(125.12)
17/05/2014,154.71(146.91),89.70(96.67),130.16(124.30)
10/05/2014,153.12 (143.95),91.72 (97.61),129.06 (123.46)
03/05/2014,157.37(145.27),89.57(105.15),129.11(128.74)
26/04/2014,153.96 (145.62),87.06 (109.41),126.16 (128.99)
19/04/2014,143.34(147.34),71.96(111.92),112.54(128.45)
12/04/2014,155.58(144.19),86.42(113.24),107.06(129.03)
05/04/2014,135.85(138.99),82.52(116.21),100.43(125.36)
29/03/2014,96.53(NS),87.06(109.13),91.16(109.13)
22/03/2014,NS(133.04),89.98(119.79),89.98(123.75)
15/03/2014,NS(NS),91.20(111.15),91.20(111.15)
08/03/2014,103.20 (129.80),91.37 (106.82),98.76 (116.51)
01/03/2014,N.S. (140.62),92.15 (101.36),92.15 (117.13)
22/02/2014,107.55 (129.86),94.25 (100.57),103.07 (119.39)
15/02/2014,106.97 (124.69),95.14 (100.68),103.60 (117.08)
08/02/2014,110.04 (123.01),92.44 (100.47),105.25 (116.86)
01/02/2014,112.06 (121.67),93.30 (99.01),107.57 (115.14)
25/01/2014,114.48 (124.49),92.00 (98.95),108.66 (116.99)
18/01/2014,118.11 (125.96),93.60 (99.19),111.98 (119.70)
11/01/2014,122.71 (128.46),87.80 (100.68),113.33 (120.83)
04/01/2014,128.39 (133.08),85.28 (101.26),116.63 (124.50)
