Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
26/12/2020,183.61(152.94),160.80(134.25),164.48(135.65),NS(NS),128.08,171.84(116.47),112.94(NS),130.42(NS),99.16(67.76)
19/12/2020,176.24(154.19),157.43(138.83),160.59(135.58),NS(NS),Not Available,170.61(115.18),110.74(81.27),129.53(93.83),99.10(65.03)
12/12/2020,176.11(153.19),165.85(NS),157.84(136.34),NS(NS),140.03,173.74(115.97),107.07(79.13),137.50(91.63),98.32(66.11)
05/12/2020,181.13(155.34),163.78(140.59),158.00(139.57),NS(NS),111.00,185.58(116.20),108.56(77.75),136.99(92.62),133.38(65.66)
28/11/2020,186.52(159.51),168.80(137.90),156.82(136.83),NS(NS),162.33,197.97(115.82),128.93(77.62),160.31(94.83),128.13(67.62)
21/11/2020,190.86(159.41),176.33(141.72),162.12(137.61),NS(NS),161.82,196.09(115.36),141.61(78.78),159.01(94.82),136.26(69.05)
14/11/2020,216.65(154.48),186.39(144.50),174.94(135.90),NS(NS),180.10,195.57(114.03),NS(78.12),NS(92.56),137.67(68.85)
07/11/2020,223.97(155.60),191.65(146.59),194.98(132.30),NS(NS),NS,194.12(112.49),149.31(77.08),159.44(95.10),136.57(68.44)
31/10/2020,NS(162.45),205.06(142.76),NS(134.12),NS(NS),205.69,187.12(113.03),151.39(76.90),159.93(NS),133.75(69.18)
24/10/2020,241.28(162.89),214.48(149.05),208.57(136.59),NS(NS),205.78,182.89(114.58),150.07(79.05),156.02(95.64),132.77(73.50)
17/10/2020,248.03(159.11),226.98(149.48),211.91(132.70),NS(NS),220.53,180.36(115.55),145.33(83.57),156.14(94.99),121.42(72.40)
10/10/2020,258.59(NS),239.38(NS),224.61(135.89),NS(NS),247.17,173.10(115.88),146.37(84.93),154.90(94.72),133.94(73.55)
03/10/2020,269.09(166.87),257.40(153.15),239.57(NS),NS(NS),254.80,175.67(115.23),156.33(85.96),166.29(96.46),144.25(73.13)
26/09/2020,274.35(162.83),264.71(149.28),247.18(129.09),NS(NS),251.80,188.46(115.41),170.74(86.58),180.74(94.44),165.36(72.72)
19/09/2020,283.32(164.01),274.79(149.32),251.40(132.39),NS(NS),229.86,197.36(111.72),185.50(85.06),192.72(94.32),181.35(71.73)
12/09/2020,NS(168.08),281.29(149.50),253.80(132.25),NS(NS),263.75,195.02(NS),193.04(84.51),192.82(89.83),179.85(69.73)
05/09/2020,297.00(177.56),289.69(155.87),255.01(132.99),NS(NS),275.17,NS(108.07),194.12(82.67),190.87(92.92),174.35(68.80)
29/08/2020,302.91(169.47),297.81(155.37),248.69(132.28),NS(NS),272.60,177.99(109.31),187.93(82.25),178.95(89.89),160.63(68.20)
22/08/2020,312.13(174.81),296.08(156.13),245.22(130.65),NS(NS),235.64,166.95(107.00),173.65(81.91),166.76(91.21),151.82(68.30)
15/08/2020,314.22(176.72),297.90(156.66),246.81(134.33),NS(NS),258.72,156.35(104.99),168.49(80.38),158.91(90.93),143.75(68.70)
08/08/2020,313.58(183.59),288.71(161.64),251.87(138.75),NS(NS),256.52,142.65(108.51),150.86(79.64),149.62(90.88),139.04(71.80)
01/08/2020,299.17(182.14),279.22(160.83),246.18(142.20),NS(NS),235.83,133.30(109.37),147.90(78.98),144.15(91.68),129.19(73.56)
25/07/2020,290.01(178.43),NS(163.94),241.01(142.23),NS(NS),244.98,131.42(109.34),141.50(79.44),141.44(87.28),122.95(71.00)
18/07/2020,286.15(179.47),281.23(161.31),236.66(143.68),NS(NS),296.47,126.45(107.52),137.68(77.77),136.45(89.80),111.41(69.40)
11/07/2020,271.25(173.56),NS(157.55),231.40(143.44),NS(NS),249.28,118.59(109.07),128.41(77.77),128.30 (90.18),105.30(69.48)
04/07/2020,266.99(176.81),272.12(158.04),228.76(144.57),NS(NS),0.00,110.21(111.24),116.15(83.75),116.02(97.87),97.17(73.59)
27/06/2020,247.44(173.17),263.58(156.14),226.20(144.36),NS(NS),247.19,106.70(112.70),112.88(86.15),112.48(96.84),88.65(79.63)
20/06/2020,247.44(171.35),252.15(161.93),219.99(150.56),NS(NS),255.77,103.02(113.88),110.21(90.68),108.21(98.88),87.90(81.34)
13/06/2020,222.93(159.03),229.90(154.08),207.24(149.43),NS(NS),239.93,103.51(116.45),106.63(91.82),103.13(102.30),80.08(83.07)
06/06/2020,205.82(151.61),214.39(146.91),202.48(147.83),NS(NS),210.00,102.29(120.12),98.24(92.16),104.62(105.16),78.37(84.63)
30/05/2020,NS(144.51),196.56(138.45),180.23(149.70),NS(NS),,106.33(122.82),94.66(93.01),104.37(109.69),75.30(86.60)
23/05/2020,NS(149.69),195.51(134.29),195.66(147.25),NS(NS),,110.52(122.78),92.89(94.61),105.02(109.20),74.57(87.72)
16/05/2020,135.67(147.74),216.54(134.50),188.64(148.81),NS(NS),,113.08(122.98),93.21(96.47),105.23(111.36),74.60(90.96)
09/05/2020,NS(152.57),150.05(134.76),209.05(149.81),NS(NS),,118.85(122.98),93.93(98.29),NS(109.36),77.05(89.81)
02/05/2020,NS(158.52),217.12(142.65),204.25(147.10),NS(NS),,90.05(124.46),96.35(98.09),NS(110.43),77.27(90.30)
25/04/2020,NS(151.90),111.35(151.25),129.50(148.19),NS(NS),,120.28(124.04),91.05(99.65),106.05(108.28),79.29(90.27)
18/04/2020,NS(150.44),NS(165.80),NS(154.94),NS(NS),,130.27(NS),NS(98.65),NS(111.22),NS(88.79)
11/04/2020,NS(147.38),NS(169.83),NS(159.46),NS(NS),,119.84(123.55),NS(98.74),NS(109.40),NS(90.70)
04/04/2020,NS (118.77),NS (175.02),NS (152.77),NS(NS),,NS (122.24),NS (98.92),NS (108.50),NS (91.85)
21/03/2020,89.92(108.90),82.23(113.00),NS(NS),NS(NS),,110.83(122.49),81.18(99.84),89.90(106.82),58.29 (92.51)
14/03/2020,90.82(107.51),NS(NS),NS(NS),NS(NS),,112.25(122.11),79.20(101.21),95.38(107.53),59.99(93.44)
07/03/2020,94.68(115.79),85.97(NS),91.25(107.78),NS(NS),,113.98(121.82),78.53(100.44),91.52(106.52),63.03(92.33)
29/02/2020,94.13(111.86),88.87(121.46),NS(105.05),NS(NS),,113.94(122.43),79.57(98.76),92.18(103.81),61.16(89.25)
22/02/2020,100.24(113.40),85.68(NS),96.62(108.42),NS(NS),,113.93(122.45),79.29(97.76),93.15(103.51),67.18(87.07)
15/02/2020,105.88(118.48),91.52(124.45),97.72(111.39),NS(NS),,114.74(123.90),80.40(97.45),92.56(103.24),66.60(90.39)
08/02/2020,115.80(124.27),99.30(120.36),100.12(115.83),NS(NS),,115.20(124.53),80.16(97.97),91.62(103.63),66.14(88.44)
01/02/2020,125.28(127.98),106.26(122.22),105.55(119.45),NS(NS),,116.97(126.57),81.09(98.62),92.56(107.72),66.47(87.54)
25/01/2020,128.59(135.92),112.08(124.06),114.95(127.08),NS(NS),,115.14(125.19),81.64(100.17),95.14(107.61),66.25(89.31)
18/01/2020,131.78(141.68),118.75(123.32),120.51(131.35),NS(NS),,114.90(123.74),82.77(99.43),94.24(106.89),64.64(89.11)
11/01/2020,140.19(144.28),128.10(127.58),125.32(135.46),NS(NS),,115.41(122.61),83.28(98.95),93.86(106.96),74.98(89.51)
04/01/2020,143.66(147.85),131.95(130.75),133.67(136.74),NS(NS),,NS(122.42),83.03(97.37),95.16(105.96),NS(89.64)
