0,1,2,3
Week Ending/Date,CTC Leaf & All Dust,CTC Leaf & All Dust,CTC Leaf & All Dust
,NORTH INDIA,SOUTH INDIA,ALL INDIA
26/12/2020,168.38(140.11),132.27(103.30),161.63(136.99)
19/12/2020,163.84(142.45),129.46(91.02),157.65(132.22)
12/12/2020,165.90(144.62),127.41(89.80),158.31(130.20)
05/12/2020,166.43(144.89),128.92(90.49),159.74(134.63)
28/11/2020,169.86(144.03),162.61(90.69),168.99(134.55)
21/11/2020,176.1(146.05),165.09(91.90),174.50(136.10)
14/11/2020,193.21(144.56),189.01(89.02),192.91(133.93)
07/11/2020,200.86(144.12),162.46(87.99),193.58(130.73)
31/10/2020,205.06(146.88),158.91(89.17),186.84(136.70)
24/10/2020,219.44(149.51),154.29(89.63),204.62(139.09)
17/10/2020,228.64(146.83),149.02(92.85),206.95(138.09)
10/10/2020,241.57(135.89),151.06(93.05),217.56(119.94)
10/10/2020,241.57(135.89),151.06(93.05),217.56(119.94)
03/10/2020,256.06(158.80),160.48(93.99),234.05(139.47)
26/09/2020,261.84(147.06),175.57(94.97),245.40(139.40)
19/09/2020,268.81(147.90),189.05(93.69),253.97(139.11)
12/09/2020,267.98(149.97),192.53(83.41),248.31(142.93)
05/09/2020,278.54(155.69),191.74(90.82),262.80(145.63)
29/08/2020,281.85(152.47),182.41(90.01),261.66(142.21)
22/08/2020,284.10(154.69),169.04(91.14),261.27(145.16)
15/08/2020,281.90(154.24),163.38(87.05),253.23(140.34)
08/08/2020,282.38(160.44),147.52(87.88),253.42(143.93)
01/08/2020,273.91(160.30),142.37(88.91),243.41(143.52)
25/07/2020,258.26(160.18),137.60(86.18),212.48(141.50)
18/07/2020,263.05(160.14),131.40(85.94),225.56(140.32)
11/07/2020,240.43(157.03),123.72(86.02),190.16(139.17)
04/07/2020,253.63(158.24),113.53(92.27),211.86(141.35)
27/06/2020,247.97(156.76),108.68(95.76),205.06(142.01)
20/06/2020,240.36(160.18),105.73(99.88),190.28(145.84)
13/06/2020,220.90(153.80),102.18(101.37),171.09(140.78)
06/06/2020,207.86(148.48),98.62(102.19),164.96(136.77)
30/05/2020,188.50(143.94),98.87(104.45),148.97(133.61)
23/05/2020,195.55(142.76),97.23(103.81),149.38(133.47)
16/05/2020,193.14(142.05),99.17(105.98),153.67(132.44)
09/05/2020,187.94(143.47),100.82(107.66),130.82(132.39)
02/05/2020,205.96(148.00),93.09(107.85),126.00(137.02)
25/04/2020,121.25(150.17),102.83(108.96),109.62(136.93)
18/04/2020,NS(157.41),130.27(99.03),130.27(139.43)
11/04/2020,NS(159.87),119.84(108.05),119.84(135.18)
04/04/2020,NS(144.10),NS(108.00),NS(126.50)
21/03/2020,84.16(111.14),88.69(108.95),86.44(109.80)
14/03/2020,90.82(107.51),91.34(109.36),91.18(108.54)
07/03/2020,89.03(114.15),92.30(108.64),89.95(111.80)
29/02/2020,91.28(112.44),87.76(108.36),90.17(111.22)
22/02/2020,91.91(111.16),92.94(106.81),92.12(110.00)
15/02/2020,97.43(116.16),93.77(106.93),96.80(113.96)
08/02/2020,104.64(120.34),93.16(107.81),102.53(117.64)
01/02/2020,110.77(123.45),94.67(110.36),107.71(120.68)
25/01/2020,117.65(129.03),95.40(110.04),113.69(124.59)
18/01/2020,123.40(132.20),95.19(109.60),118.41(127.28)
11/01/2020,130.52(135.08),96.10(106.59),123.90(129.04)
04/01/2020,135.42(138.06),86.06(105.20),129.19(130.85)
