Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
31/12/2022,187.14(190.91),156.78(162.54),154.78(165.34),NS(NS),123.40(144.13),NS(NS),112.93(NS),NS(NS),104.56(NS)
24/12/2022,193.25(195.83),161.45(167.79),158.95(172.21),NS(NS),154.89(158.49),144.23(138.78),112.09(94.75),119.68(111.01),103.79(86.98)
17/12/2022,196.84(194.32),163.65(173.40),166.57(178.90),NS(NS),131.39(160.55),142.62(133.93),110.67(94.79),118.17(106.72),99.52(86.83)
10/12/2022,206.80(205.41),173.77(178.38),172.28(179.26),NS(NS),153.94(143.40),143.61(129.34),108.74(98.29),113.46(106.23),97.11(86.95)
03/12/2022,214.85(209.99),177.42(180.89),169.76(169.49),NS(NS),141.25(136.55),148.87(129.40),110.86(98.15),116.51(99.51),99.33(83.77)
26/11/2022,226.37(223.21),182.58(182.19),167.87(170.54),NS(NS),161.43(148.79),149.26(130.64),113.10(96.73),121.55(100.71),102.97(81.61)
19/11/2022,233.17(221.53),185.53(183.41),170.99(180.46),NS(NS),NS(131.28),154.09(130.71),115.71(92.81),122.27(98.44),108.87(78.55)
12/11/2022,239.65(209.18),190.10(184.73),172.92(186.85),NS(NS),147.10(138.88),151.11(128.28),115.53(90.32),123.50(93.10),106.58(76.70)
05/11/2022,232.59(212.39),196.10(185.91),179.15(190.14),NS(NS),NS(145.62),147.21(128.36),112.72(88.77),118.28(NS),101.22(74.23)
29/10/2022,250.78(207.96),196.93(177.68),184.07(176.53),NS(NS),158.58(140.03),145.67(130.81),107.51(86.76),NS(91.58),93.75(71.75)
22/10/2022,233.65(217.22),204.87(175.53),185.36(175.62),NS(NS),120.93(NS),141.32(128.55),103.33(84.09),111.69(92.03),85.98(76.66)
15/10/2022,234.32(NS),203.09(NS),181.29(NS),NS(NS),157.05(149.51),142.12(124.14),99.64(86.09),115.21(90.17),85.60(76.53)
08/10/2022,NS(217.03),NS(173.90),NS(153.22),NS(NS),NS(147.83),143.89(124.43),98.46(87.61),114.23(90.39),86.26(78.22)
01/10/2022,232.10(220.10),192.11(178.72),175.35(161.56),NS(NS),177.17(116.82),150.21(126.37),101.15(90.12),113.56(95.79),90.21(81.69)
24/09/2022,235.30(223.11),196.80(177.37),169.95(161.88),NS(NS),157.96(142.91),149.65(126.38),99.87(92.45),116.51(96.17),91.55(79.51)
17/09/2022,246.81(216.13),203.84(179.12),173.07(164.62),NS(NS),183.01(152.84),152.19(126.95),97.93(94.06),119.88(96.36),94.25(78.95)
10/09/2022,259.99(218.92),214.21(176.46),182.92(168.68),NS(NS),164.28(147.89),NS(123.30),98.70(93.79),110.94(97.80),91.85(78.80)
03/09/2022,270.04(220.59),218.88(173.38),185.75(169.57),NS(NS),168.06(143.74),156.25(127.86),96.95(94.93),107.73(98.57),88.21(75.35)
27/08/2022,275.09(219.09),214.77(171.89),182.06(173.78),NS(NS),173.79(135.57),149.65(128.27),95.88(92.99),105.73(102.11),82.00(74.54)
20/08/2022,280.24(227.99),213.44(174.17),181.52(169.84),NS(NS),167.22(148.44),152.98(NS),91.17(91.57),102.15(102.54),80.83(79.21)
13/08/2022,283.84(220.66),214.56(174.60),187.41(169.29),NS(NS),169.27(148.41),148.18(124.71),87.93(90.36),100.79(102.23),80.33(76.95)
06/08/2022,286.87(221.64),212.30(176.55),188.79(178.66),NS(NS),170.81(145.00),141.83(124.67),87.25(90.43),103.05(101.09),79.13(79.64)
30/07/2022,285.93(224.17),217.27(181.74),188.67(177.25),NS(NS),162.72(193.62),142.74(124.42),87.92(92.96),101.83(102.32),73.69(80.47)
23/07/2022,278.57(228.85),208.80(184.85),181.92(185.05),NS(NS),209.20(152.80),146.59(123.88),84.07(91.60),98.36(103.82),69.24(80.84)
16/07/2022,276.29(237.55),207.34(196.28),180.06(181.51),NS(NS),177.94(174.92),145.54(124.65),78.01(92.05),96.50(103.16),70.89(81.74)
09/07/2022,284.00(242.19),210.28(207.64),187.17(181.19),NS(NS),188.64(178.29),143.79(126.34),77.56(93.81),95.53(110.32),68.81(78.88)
02/07/2022,291.61(261.60),214.97(227.35),198.41(192.22),NS(NS),163.33(206.35),138.79(131.30),77.60(95.88),95.92(111.64),68.49(87.11)
25/06/2022,288.10(255.38),215.25(232.34),203.85(203.59),NS(NS),298.67(241.99),136.83(132.10),93.14(95.70),95.94(112.37),72.34 (NS)
18/06/2022,280.56(251.80),216.46(235.06),207.27(214.41),NS(NS),185.91(200.31),131.01(131.70),78.25(98.75),99.32(112.06),74.12(108.31)
11/06/2022,237.97(235.30),201.06(234.03),202.03(221.68),NS(NS),192.20(216.31),130.80(135.86),82.10(111.86),97.05(117.11),74.56(103.24)
04/06/2022,215.66(240.96),184.72(226.91),191.63(217.32),NS(NS),232.37(205.50),133.84(141.77),86.67(117.03),97.84(124.56),74.54(104.91)
28/05/2022,209.88(NS),176.69(223.36),180.78(211.23),NS(NS),152.05(203.38),134.47(144.45),87.35(NS),97.29(NS),74.77(102.81)
21/05/2022,219.48(235.47),179.25(218.16),174.14(207.44),NS(NS),153.00(187.59),136.27(156.25),87.56(122.79),102.04(132.80),78.46(107.32)
14/05/2022,218.60(228.46),184.92(211.75),175.92(203.21),NS(NS),172.29(187.99),137.00(144.74),89.01(125.86),101.64(125.52),81.16(112.59)
07/05/2022,238.97(231.55),196.65(204.45),184.57(198.30),NS(NS),159.74(179.12),139.57(137.51),90.76(121.53),101.87(122.24),79.72(109.20)
30/04/2022,258.20(223.69),216.99(198.18),203.41(198.32),NS(NS),198.70(167.87),138.47(135.30),92.48(117.49),102.35(119.36),80.26(103.19)
23/04/2022,261.00(226.63),252.34(199.46),229.12(209.78),NS(NS),186.66(185.53),139.27(138.18),92.52(114.53),103.46(122.79),79.29(106.26)
16/04/2022,235.68(224.79),277.12(NS),227.47(211.39),NS(NS),199.62(184.14),NS(148.42),92.95(114.80),97.74(121.71),80.37(106.17)
09/04/2022,213.17(203.98),250.50(231.33),265.10(213.18),NS(NS),NS(211.37),135.35(156.52),92.20(117.63),99.92(125.18),79.25(104.82)
02/04/2022,NS(NS),127.74(157.33),178.71(NS),NS(NS),NS(NS),139.52(NS),91.26(120.10),97.40(130.24),80.78(113.84)
26/03/2022,149.09(148.74),NS(NS),NS(169.16),NS(NS),NS(NS),136.13(163.90),91.57(123.85),98.84(131.52),79.86(114.29)
19/03/2022,NS(NS),NS(NS),NS(NS),NS(NS),NS(NS),134.95(164.98),90.07(123.84),99.40(130.11),81.34(112.89)
12/03/2022,NS(145.50),NS(149.69),NS(NS),NS(NS),100.59(NS),137.25(164.78),93.49(122.67),102.00(131.55),84.89(113.60)
05/03/2022,NS(147.73),130.19(NS),NS(NS),NS(NS),NS(NS),139.13(165.52),98.57(121.86),103.74(131.85),87.26(117.88)
26/02/2022,145.09(157.71),NS(158.58),121.50(NS),NS(NS),109.58(NS),140.95(166.93),101.83(125.61),107.92(138.91),88.82(117.14)
19/02/2022,NS(170.57),134.22(146.18),NS(150.80),NS(NS),NS(147.02),144.05(165.59),103.51(131.51),111.29(138.47),89.25(118.02)
12/02/2022,148.76(174.16),140.54(148.15),NS(151.70),NS(NS),NS(147.27),143.34(169.20),104.49(133.23),111.99(140.76),90.71(118.78)
05/02/2022,161.68(174.91),146.54(157.00),129.89(148.68),NS(NS),120.42(154.98),142.33(166.71),103.16(134.11),112.97(141.99),91.26(113.49)
29/01/2022,NS(190.21),146.93(160.65),139.98(152.18),NS(NS),127.18(136.28),143.51(168.49),104.40(133.25),110.06(142.15),89.92(122.69)
22/01/2022,166.25(190.96),148.30(165.06),146.52(160.07),NS(NS),120.57(125.10),145.50(170.29),100.89(133.00),108.97(138.73),88.30(126.47)
15/01/2022,175.91(190.95),151.52(168.51),152.10(163.66),NS(NS),129.16(138.55),142.98(168.48),98.71(136.69),112.49(138.93),89.91(124.95)
08/01/2022,181.21(190.74),154.38(168.22),155.39(167.60),NS(NS),126.04(129.87),142.14(172.11),97.19(135.23),112.37(136.71),89.13(117.34)
01/01/2022,190.91(195.23),162.54(164.42),165.34(168.57),NS(NS),144.13(130.40),NS(NS),NS(NS),NS(NS),NS(108.74)
