Week Ending/Date,Kolkata,Guwahati,Siliguri,Jalpaiguri,mjunction,Cochin,Coonoor,Coimbatore,Tea Serve
15/07/2023,235.72(236.89),213.6(205.16),184.32(180.06),NS(NS),163.34(176.21),126.17(130.36),91.1(76.57),105.5(94.08),82.44(70.89)
08/07/2023,238.82(248.26),215.23(208.7),182.15(187.17),NS(NS),167.25(181.33),128.51(129.98),93.07(75.78),105.6(92.45),84.79(68.81)
01/07/2023,241.71(257.45),213.56(213.37),187.14(198.41),NS(NS),152.62(163.33),131.42(124.4),94.79(75.58),106.04(93.28),87.19(68.49)
24/06/2023,235.75(258.02),213.03(213.88),186.53(203.85),NS(NS),190.59(251.88),128.57(124.67),97.18(89.01),105.73(92.81),91.00(72.34)
17/06/2023,236.22(250.37),217.54(214.66),180.94(207.27),NS(NS),142.35(185.66),129.21(119.26),96.58(76.32),106.16(96.38),89.22(74.12)
10/06/2023,225.96(212.26),215.78(199.63),180.21(202.03),NS(NS),163.69(191.91),130.81(117.6),95.96(80.33),106.77(94.81),90.01(74.56)
03/06/2023,199.47(189.99),206.53(183.57),179.91(191.63),NS(NS),149.2(230.65),131.33(120.37),93.26(84.15),105.97(96.02),90.31(74.54)
27/05/2023,186.28(187.06),193.01(176.16),182.67(180.78),NS(NS),171.88(152.05),133.12(122.14),95.46(85.06),110.05(95.75),93.04(74.77)
20/05/2023,183.69(197.95),183.62(178.9),182.7(174.14),NS(NS),158.98(153),134.61(126.87),99.93(85.66),111.21(101.44),95.97(78.46)
13/05/2023,194.3(197.65),190.91(184.87),181.91(175.92),NS(NS),158.89(172.29),135.98(128.29),103.28(87.31),115.51(99.62),104.58(81.16)
06/05/2023,189.32(214.26),193.24(196.4),175.95(184.57),NS(NS),160.77(159.74),138.95(133.23),107.34(89.01),117.55(101.81),107.99(79.72)
29/04/2023,200.11(238.82),200.93(216.77),176.79(203.41),NS(NS),201.24(198.7),137.79(133.41),109.33(90.25),120.78(102.49),106.45(80.26)
22/04/2023,197.09(241.59),213.97(252.43),182.95(229.12),NS(NS),162.07(186.66),138.16(135.64),110.92(91.05),122.44(103.31),104.91(79.29)
15/04/2023,184.54(236.8),222.77(277.84),188.18(227.47),NS(NS),226.70(199.62),137.80(NS),108.61(91.42),123.49(97.99),105.15(80.37)
08/04/2023,199.49(225.79),215.23(249.70),201.48(265.10),NS(NS),193.93(NS),NS(131.71),108.89(90.92),123.11(99.95),105.21(79.25)
01/04/2023,NS(NS),171.99(126.44),199.27(178.71),NS(NS),NS(NS),139.84(136.26),110.02(89.86),118.85(97.17),107.84(80.78)
25/03/2023,149.89(144.31),139.38(NS),154.42(NS),NS(NS),NS(NS),142.18(133.54),112.46(90.21),124.26(98.1),109.27(79.86)
18/03/2023,NS(NS),NS(NS),NS(NS),NS(NS),NS(NS),142.8(134.07),113.71(88.97),122.49(99.61),106.86(81.34)
11/03/2023,140.14(NS),135.90(NS),139.16(NS),NS(NS),NS(100.59),144.67(136.57),114.55(92.25),125.58(102.56),108.45(84.89)
04/03/2023,149.57(NS),134.52(129.76),130.25(NS),NS(NS),NS(NS),145.36(136.39),116.79(97.09),125.11(105.15),109.2(87.26)
25/02/2023,NS(142.2),NS(NS),NS(121.5),NS(NS),NS(109.58),147.46(136.9),117.15(100.78),128.06(107.57),112.18(88.82)
18/02/2023,153.26(NS),139.48(134.08),132.68(NS),NS(NS),NS(NS),150.34(140.42),117.60(102.50),127.83(110.92),115.73(89.25)
11/02/2023,148.58(148.65),140.69(140.76),132.89(NS),NS(NS),116.08(NS),152.09(140.41),119.22(104.05),129.15(112.29),117.79(90.71)
04/02/2023,148.16(161.20),141.62(146.47),132.78(129.89),NS(NS),NS(120.42),151.29(140.12),118.64(102.76),129.83(114.67),113.39(91.26)
28/01/2023,153.55(NS),140.58(146.73),140.01(139.98),NS(NS),119.41(127.18),149.40(140.7),117.51(103.64),126.11(111.73),111.19(89.83)
21/01/2023,152.02(166.24),139.6(149.83),138.39(146.52),NS(NS),114.83(120.57),143.28(142.85),114.9(100.07),126.78(109.38),108.78(88.30)
14/01/2023,162.08(175.82),144.66(153.57),145.15(152.10),NS(NS),134.87(129.16),143.83(142.55),113.77(97.92),120.92(112.60),105.31(89.91)
07/01/2023,167.96(180.49),147.71(154.91),150.71(155.39),NS(NS),118.65(126.04),141.67(140.21),112.7(96.41),120.44(112.37),104.35(89.13)
